Id,Name,TypeDesc,License,LicenseType,Owner,Location,Phone,Status,BeginDate,EndDate,OpenDate,LastInspection,NextInspection,FollowUpDate,ReinspectDate,DateClosed,Complexity,LastInspectionStatus,Address
243,Brenda's Beans and Greens,Food Service Establishment,53555,SFE,Brenda Jackson,"(42.4269585,-83.28477819999999)",,PERMANENTLY CLOSED,,,,11/28/07,4/26/08,12/8/07,12/30/1899,,O,IN COMPLIANCE,"24623 Grand River Ave, Detroit, MI 48219, USA"
244,Cesar Chavez Academy,Non-Public School,33883,SFE,Cesar Chavez Academy,"(42.327864,-83.065456)",961-5880,PERMANENTLY CLOSED,,,,3/2/05,8/29/05,3/12/05,12/30/1899,,O,,"1548 Porter St, Detroit, MI 48216, USA"
245,Julian's Coney Island,Food Service Establishment,81040,SFE,Lon Marka,"(42.43212459999999,-83.10258549999999)",(313) 892-6369,OPEN,,,,5/18/15,10/15/15,5/18/15,12/30/1899,,O,NOT IN COMPLIANCE,"5 W Seven Mile Rd, Highland Park, MI 48203, USA"
246,Fuddruckers,Food Service Establishment,33887,SFE,Saber Ammori/Tom Kyriakoza,"(42.3377397,-83.0250183)",568-1000,PERMANENTLY CLOSED,,,,10/7/11,3/5/12,10/17/11,12/30/1899,10/28/12,O,NOT IN COMPLIANCE,"2630 E Jefferson Ave, Detroit, MI 48207, USA"
247,Szechuan Chinese Food,Food Service Establishment,46720,SFE,Yuan X. Situ,"(42.4351226,-82.964287)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"15236 Seven Mile E, Detroit, MI 48205, USA"
248,Apollo Catering,Food Service Establishment,33893,SFE,"Apollo Catering, Inc.","(42.4071989,-82.99983569999999)",839-8030,TEMPORARILY CLOSED,,,,12/3/04,12/9/06,7/22/06,12/30/1899,,O,,"11100 Conner St, Detroit, MI 48213, USA"
249,Fay's Place,Food Service Establishment,72562,SFE,Willie Jordan,"(42.4338411,-83.0741611)",(313) 506-3862,OPEN,7/19/11,,,8/7/13,7/8/14,8/17/13,12/30/1899,,Y,NOT IN COMPLIANCE,"19160 Conant St, Detroit, MI 48234, USA"
250,Erotic City,Food Service Establishment,208198,SFE,Tom M. Jajo,"(42.4358992,-83.0755435)",(313) 892-5600,OPEN,1/23/07,,,12/15/17,5/14/18,,,,Z,NOT IN COMPLIANCE,"19326 Conant St, Detroit, MI 48234, USA"
251,St. Rose Senior Center ,Food Service Establishment,33899,SFE,Food and Friendship,"(42.3903168,-82.98199220000001)",,OPEN,,,,8/17/10,8/17/10,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"5555 Conner St #1052, Detroit, MI 48213, USA"
252,Krazy Louie's,Food Service Establishment,33901,SFE,Deborah Cormier,"(42.343342,-83.20007900000002)",(313) 582-0600,OPEN,,,,2/12/08,7/11/08,2/9/07,12/30/1899,3/24/11,O,NOT IN COMPLIANCE,"15811 W Warren Ave, Detroit, MI 48228, USA"
253,A-1 Coney Island,Food Service Establishment,33903,,Nguyen  Nhon & Tieng Truong,"(42.3438695,-83.1966116)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"15512 W Warren Ave, Detroit, MI 48228, USA"
254,Club Joy Lounge,Food Service Establishment,33904,SFE,Anthony Floyed Jackson,"(42.3579964,-83.220861)",835-2200,OPEN,,,,10/16/14,9/16/15,5/22/14,12/30/1899,,Y,IN COMPLIANCE,"18434 Joy Rd, Detroit, MI 48228, USA"
255,Last Call Bar,Food Service Establishment,78367,SFE,Dennis Willis,"(42.3434258,-83.2312882)",,OPEN,,,,11/2/15,10/2/16,11/24/14,12/30/1899,,Y,NOT IN COMPLIANCE,"19432 W Warren Ave, Detroit, MI 48228, USA"
256,Hurry Inn ,Food Service Establishment,71790,SFE,Dennis G Willis,"(42.3433323,-83.2311722)",313-240-4180,OPEN,4/5/12,,,9/12/17,8/13/18,,,,Y,NOT IN COMPLIANCE,"19430 W Warren Ave, Detroit, MI 48228, USA"
257,Pete's Bar,Food Service Establishment,33909,,David Wasil,"(42.3430572,-83.23095909999999)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"19421 W Warren Ave, Detroit, MI 48228, USA"
258,Barachit Club,Food Service Establishment,33910,SFE,Barachit Social Club,"(42.3443085,-83.1965907)",213-5898,OPEN,,,,7/6/17,6/6/18,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"7235 Greenfield Rd, Detroit, MI 48228, USA"
259,Duly's Coney Island,Food Service Establishment,33912,SFE,Gjoka Gojcaj,"(42.3181334,-83.1018478)",554-3076,OPEN,,,,9/21/17,2/18/18,10/1/17,12/30/1899,,O,NOT IN COMPLIANCE,"5458 Vernor Hwy, Detroit, MI 48209, USA"
260,Pete's in the Market Shed #5,Food Service Establishment,33913,SFE,Paschalis Mazaris,"(42.3483744,-83.0417985)",734-377-1635,TEMPORARILY CLOSED,4/16/10,,,4/9/11,3/9/12,4/19/11,12/30/1899,,O,NOT IN COMPLIANCE,"2900 Russell St, Detroit, MI 48207, USA"
261,Park-Joy Bar,Food Service Establishment,69044,SFE,Albert A. Acker Inc,"(42.3572315,-83.2656267)",(313) 658-4435,OPEN,4/19/11,,,1/18/18,6/17/18,,,,Y,NOT IN COMPLIANCE,"23220 Joy Rd, Detroit, MI 48239, USA"
262,B. M. G. Bar & Grill,Food Service Establishment,33915,SFE,BMG Inc.,"(42.3571314,-83.2447668)",846-8566,OPEN,,,,8/2/17,7/3/18,12/30/1899,12/30/1899,,Z,IN COMPLIANCE,"20809 Joy Rd, Detroit, MI 48228, USA"
263,E & H Lounge,Food Service Establishment,33916,SFE,"Howard Hughes, Jr.","(42.357169,-83.241334)",581-7900,TEMPORARILY CLOSED,,,,2/3/12,1/3/13,2/13/12,12/30/1899,1/10/13,O,NOT IN COMPLIANCE,"20531 Joy Rd, Detroit, MI 48228, USA"
264,"Loose Ends, Inc/dba Club Ro-zay",Food Service Establishment,33917,SFE,Marlon A. Williams,"(42.35778,-83.23894299999999)",397-3179,OPEN,,,,5/2/11,4/1/12,5/12/11,12/30/1899,,O,NOT IN COMPLIANCE,"20226 Joy Rd, Detroit, MI 48228, USA"
2883,AVI Foodsystems,LHD - Vending,40612,SVN,AVI Foodsystems,"(42.30043209999999,-83.1166438)",734-946-3139,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"Detroit, MI 48209, USA"
266,Times Square,Food Service Establishment,33921,SFE,Wilfred French,"(42.4966195,-83.2880591)",,PERMANENTLY CLOSED,,,,5/20/05,11/16/05,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"Southfield, MI 48034, USA"
267,"Bahamas, Inc.",Food Service Establishment,33924,SFE,Edward John Lemming,"(42.3395113,-83.05700739999999)",,OPEN,,,,2/14/05,6/26/09,12/30/1899,12/30/1899,5/3/11,O,IN COMPLIANCE,"2519 Clifford St, Detroit, MI 48201, USA"
268,Robinson Dairy Vending,LHD - Vending,33925,SVN,Frank Caramagno,"(42.3774478,-83.2174616)",313-893-0200,OPEN,,,,10/22/04,4/20/05,12/30/1899,12/30/1899,,O,,"Borman St, Detroit, MI 48228, USA"
269,Vista Nuevas,Food Service Establishment,202838,SFE,Matrix Human Services,"(42.3385307,-83.1370851)",313-897-3310,OPEN,,,,5/18/15,11/14/15,5/18/15,12/30/1899,4/28/17,Y,IN COMPLIANCE,"5690 Cecil Ave, Detroit, MI 48210, USA"
270,Stonehouse Bar,Food Service Establishment,33930,SFE,James B. Gruda,"(42.43845719999999,-83.1173352)",313-891-3333,OPEN,2/2/10,,,10/20/16,9/20/17,,,6/1/09,Y,NOT IN COMPLIANCE,"19803 Ralston St, Highland Park, MI 48203, USA"
271,Bailey's Lounge,Food Service Establishment,33932,SFE,J.T. Bailey,"(42.3745288,-83.13864)",313-931-1080,OPEN,,,,9/19/17,2/16/18,9/29/17,,,O,IN COMPLIANCE,"11700 Livernois Ave, Detroit, MI 48204, USA"
272,P & J Restaurant,Food Service Establishment,33933,SFE,John Sandas,"(42.36182429999999,-83.09436769999999)",,PERMANENTLY CLOSED,,,,2/16/05,4/19/06,12/30/1899,12/30/1899,,O,,"6543 14th St, Detroit, MI 48208, USA"
273,Gibson's Lounge,Food Service Establishment,33934,SFE,"J & N Gibson, Inc.","(42.409718,-83.172359)",313-864-8480,PERMANENTLY CLOSED,,,,12/15/15,11/14/16,12/30/1899,12/30/1899,11/3/16,O,IN COMPLIANCE,"12924 Puritan Ave, Detroit, MI 48227, USA"
274,The Cotillion Club West,Food Service Establishment,33935,SFE,Kimberly Brown,"(42.4092345,-83.1754095)",,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"13221 Puritan Ave, Detroit, MI 48227, USA"
275,Dexter Ice Cream,Food Service Establishment,33936,SFE,Hankins Pierrette,"(42.3880618,-83.1300018)",,PERMANENTLY CLOSED,,10/3/05,5/3/06,10/4/07,3/2/09,4/27/07,4/4/08,5/28/08,O,NOT IN COMPLIANCE,"13133 Dexter Ave, Detroit, MI 48238, USA"
276,Billeo's ,Food Service Establishment,200084,SFE,Mitchell Frank Barman,"(42.4355598,-82.9519397)",313-521-4966,OPEN,,,,10/18/17,9/18/18,11/17/17,12/30/1899,,X,IN COMPLIANCE,"19164 Kelly Rd, Detroit, MI 48224, USA"
277,Pace Lounge,Food Service Establishment,33940,SFE,C.E.P. Enterprise,"(42.4172265,-82.9355175)",,New owner/complete reconstruct,,,,2/7/05,10/8/07,5/21/07,12/30/1899,,O,NOT IN COMPLIANCE,"17175 Harper Ave, Detroit, MI 48224, USA"
278,Cultural Center Early Child,Food Service Establishment,33944,SFE,Detroit Board of Education,"(42.34450959999999,-83.0595868)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"3420 Cass Ave, Detroit, MI 48201, USA"
279,Pauls Pizzeria,Food Service Establishment,33945,SFE,"Grossi, John A.","(42.3126815,-83.1236292)",313-843-1444,OPEN,,,,7/21/17,6/21/18,,,,Y,IN COMPLIANCE,"7635 Vernor Hwy, Detroit, MI 48209, USA"
280,New China One,Food Service Establishment,33947,SFE,Jianer Cheng,"(42.4310877,-83.180615)",313-862-2000,OPEN,,,,7/25/17,12/22/17,8/4/17,12/30/1899,,O,IN COMPLIANCE,"13611 W 7 Mile Rd, Detroit, MI 48235, USA"
281,"Kow Kow Inn, Inc.",Food Service Establishment,33949,SFE,"Kow Kow Inn, Inc.","(42.417977,-83.10776)",868-7550,PERMANENTLY CLOSED,,,,8/7/07,1/4/08,5/7/05,12/30/1899,3/4/09,O,NOT IN COMPLIANCE,"322 W McNichols Rd, Detroit, MI 48203, USA"
282,Marshalls Bar,Food Service Establishment,33951,SFE,Ted G. Kapuscinski,"(42.3741882,-82.9407154)",821-0610,OPEN,,,,10/12/17,9/12/18,10/22/17,12/30/1899,,O,IN COMPLIANCE,"14716 E Jefferson Ave, Detroit, MI 48215, USA"
283,Brass Key ,Food Service Establishment,73931,SFE,"Brass Key Club, Inc.","(42.352797,-83.13581239999999)",313-974-7749,PERMANENTLY CLOSED,8/26/05,,,11/19/13,4/18/14,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"8050 Livernois Ave, Detroit, MI 48204, USA"
284,L J'S Sweetheart bar,Food Service Establishment,33954,SFE,ROBERT L. JONES,"(42.3316583,-83.0755373)",962-0013,OPEN,,,,4/18/17,3/19/18,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"2114 Michigan Ave, Detroit, MI 48216, USA"
286,Jerry's Pizza & B-B-Q Inc.,Food Service Establishment,33957,SFE,Jerry's Pizza & Bar B Q Inc,"(42.3749565,-83.13939409999999)",313-834-2141,OPEN,,,,1/23/18,12/24/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"11749 Livernois Ave, Detroit, MI 48204, USA"
287,Cleo's Ascot Bar,Food Service Establishment,33958,SFE,Cleophus Thompson,"(42.402301,-83.15888199999999)",313-934-1751,PERMANENTLY CLOSED,,,,12/9/11,4/22/13,12/30/1899,12/30/1899,1/4/12,O,NOT IN COMPLIANCE,"8915 Fenkell Ave, Detroit, MI 48238, USA"
288,Geek's Hole in the Wall,Food Service Establishment,73078,SFE,DaVaught Dockery,"(42.4354642,-82.9684279)",(313) 782-5131,OPEN,,,,2/26/15,1/27/16,2/26/15,12/30/1899,,Y,IN COMPLIANCE,"14901 Seven Mile E, Detroit, MI 48205, USA"
289,Bridge Cafe,Food Service Establishment,33963,SFE,CHRISTOPHER D BRYANS,"(42.2906296,-83.1437105)",244-8178,OPEN,,,,4/2/12,8/15/13,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"130 S Fort St, Detroit, MI 48217, USA"
290,CHINA BOY EXPRESS,Food Service Establishment,33965,,LIN YONG QIANG,"(42.4304276,-83.1915094)",,PERMANENTLY CLOSED,10/28/04,,,,,,,,O,,"14701 W Seven Mile Rd, Detroit, MI 48235, USA"
291,Burton International School,Public School,33966,SFE,DETROIT BOARD OF EDUCATION,"(42.3357953,-83.0673874)",596-3973,OPEN,,,,5/10/10,10/7/10,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1333 Pine St, Detroit, MI 48201, USA"
292,Detroit Golf Club Inc.,Food Service Establishment,33968,SFE,Detroit Golf Course Inc.,"(42.42177,-83.124195)",(313) 345-4400,SEASONAL,,,,8/24/17,7/25/18,9/4/17,,,O,NOT IN COMPLIANCE,"17911 Hamilton Rd, Highland Park, MI 48203, USA"
293,Taqueria Mi Tierra II,Food Service Establishment,52320,SFE, Ingnacio A. Gomez,"(42.3435122,-83.22061)",336-7665,OPEN,,,,9/22/09,2/19/10,12/30/1899,12/30/1899,2/24/10,O,IN COMPLIANCE,"18440 W Warren Ave, Detroit, MI 48228, USA"
294,Pontchartrain Hotel - Main Kitchen,Food Service Establishment,79438,SFE,Pontchatrain Detroit Hotel LLC,"(42.3279083,-83.0478004)",313-965-0200,New owner/complete reconstruct,5/9/13,,,11/20/13,4/19/14,12/30/1899,12/30/1899,4/8/08,Z,IN COMPLIANCE,"Crowne Plaza Detroit Downtown Convention Center, 2 Washington Blvd, Detroit, MI 48226, USA"
295,Vernor Coney Island,Food Service Establishment,80160,SFE,RODGER AZAR,"(42.3201752,-83.0965684)",554-2085,PERMANENTLY CLOSED,,,,5/28/15,10/25/15,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"4430 Vernor Hwy, Detroit, MI 48209, USA"
296,Da Edoardo Foxtown Grille,Food Service Establishment,33975,SFE,Ann Barieri-Kolinski,"(42.3383494,-83.0520433)",471-3500,PERMANENTLY CLOSED,,,,6/20/17,11/17/17,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"2203 Woodward Ave, Detroit, MI 48201, USA"
297,Northlawn Grill,Food Service Establishment,33976,,John Vuktilaj,"(42.374464,-83.152357)",933-0600,PERMANENTLY CLOSED,,,,11/18/04,5/17/05,12/30/1899,12/30/1899,,O,,"11052 Grand River Ave, Detroit, MI 48204, USA"
298,Detroit City Coney Island,Food Service Establishment,33977,SFE,Victor Camaj,"(42.3306498,-83.04534629999999)",,OPEN,,,,,,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"608 Woodward Ave, Detroit, MI 48226, USA"
299,Mother's Bar,Food Service Establishment,33978,SFE,Gerald J. Cesarz,"(42.33444859999999,-83.1381583)",,OPEN,,,,12/8/08,5/7/09,12/30/1899,6/8/09,,O,NOT IN COMPLIANCE,"5311 Proctor St, Detroit, MI 48210, USA"
300,Billy's Coney Island,Food Service Establishment,33979,SFE, Ballec Rasi,"(42.38605769999999,-83.2327529)",272-7712,OPEN,,,,1/25/18,6/24/18,1/25/18,,,Z,NOT IN COMPLIANCE,"19441 Schoolcraft, Detroit, MI 48223, USA"
301,Labella Pizza,Food Service Establishment,75040,SFE,Mohamed Chammout,"(42.3439307,-83.1966743)",945-8200,PERMANENTLY CLOSED,,,,10/10/13,3/9/14,10/14/12,12/30/1899,,O,NOT IN COMPLIANCE,"15520 W Warren Ave, Detroit, MI 48228, USA"
302,Original Marcus Hamburger,Food Service Establishment,33981,SFE,Mile & Lupco Lozanovski,"(42.4194724,-83.0372857)",313-891-6170,OPEN,,,,1/24/18,6/23/18,2/3/18,,,Z,IN COMPLIANCE,"6349 E McNichols Rd, Hamtramck, MI 48212, USA"
303,Sterling Services,LHD - Vending,33983,SVN,Sterling Services,"(42.348495,-83.0602998)",734-207-8363,OPEN,,,,6/27/06,12/24/06,12/30/1899,12/30/1899,,O,,"Detroit, MI 48201, USA"
304,Dexter Coney Island Restaurant,Food Service Establishment,33986,SFE,Milici Prena,"(42.3753227,-83.12072479999999)",,OPEN,7/20/09,,,1/28/08,6/26/08,7/30/09,12/30/1899,6/26/08,O,NOT IN COMPLIANCE,"9910 Dexter Ave, Detroit, MI 48206, USA"
